finding_id,cwe,technique_id,method,confidence,plausible,notes
067ce0678276,CWE-20,T1553.002,authoritative,high,,
067ce0678276,CWE-20,T1562.003,authoritative,high,,
067ce0678276,CWE-20,T1574.006,authoritative,high,,
156d7b0d06b4,CWE-502,T1565.001,nlp,medium,,
156d7b0d06b4,CWE-502,T1565.002,nlp,low,,
1bb1df174f96,CWE-259,T1556.004,nlp,medium,,
1e89b7aa5237,CWE-330,T1552.004,authoritative,high,,
20900a282d34,CWE-78,T1055,nlp,high,,
33cd9a292a8e,CWE-78,T1068,nlp,high,,
33fc6acd1b35,CWE-330,T1110,authoritative,high,,
358c22b23065,CWE-259,T1550.002,nlp,medium,,
3665cfdfdc5b,CWE-259,T1201,nlp,medium,,
382a30a6b3f5,CWE-20,T1036.001,authoritative,high,,
60a62493d08a,CWE-259,T1555,nlp,medium,,
8eecad7d32be,CWE-502,T1048.003,nlp,low,,
a5fdda6edcff,CWE-400,T1499,authoritative,high,,
c37f70fdf4a4,CWE-502,T1565.002,nlp,low,,
e0a7a930cffd,CWE-259,T1556.004,nlp,medium,,
e9743af804cd,CWE-78,T1548.004,nlp,high,,
f3c6395da947,CWE-259,T1550.002,nlp,medium,,
